aws,hsa,time,hsa_diff,hsa_rate
THU_U,0.579500228838126,22-Aug-2022,-0.134416376580795,0.0773605289513864
THU_U,0.600938258522749,23-Aug-2022,-0.112978346896171,0.0214380296846235
THU_U,0.467529612076282,25-Aug-2022,-0.246386993342638,-0.0667043232232334
THU_U,0.493572767998775,27-Aug-2022,-0.220343837420145,0.0130215779612464
THU_U,0.471438971143961,28-Aug-2022,-0.242477634274959,-0.0221337968548141
THU_U,0.488999696786702,29-Aug-2022,-0.224916908632219,0.0175607256427405
THU_U,0.524739114224911,30-Aug-2022,-0.189177491194009,0.0357394174382094
THU_U,0.52545135987401,31-Aug-2022,-0.18846524554491,0.000712245649099108
THU_U,0.660003497725725,09-Sep-2022,-0.0539131076931951,0.0149502375390795
THU_U,0.659954090750218,17-Sep-2022,-0.0539625146687026,-6.17587193843527e-06
THU_U,0.654758712613582,18-Sep-2022,-0.059157892805338,-0.0051953781366354
UPE_L,0.637502081650495,01-May-2019,0,0
UPE_L,0.707010834825039,04-May-2019,0.0695087531745435,0.0231695843915145
UPE_L,0.660389226457476,05-May-2019,0.022887144806981,-0.0466216083675626
UPE_L,0.694157269021869,07-May-2019,0.0566551873713732,0.0168840212821961
UPE_L,0.757510046100617,12-May-2019,0.120007964450121,0.0126705554157496
UPE_L,0.713230504244566,14-May-2019,0.0757284225940705,-0.0221397709280253
UPE_L,0.709010232585669,15-May-2019,0.0715081509351732,-0.00422027165889738
UPE_L,0.722703844702244,21-May-2019,0.0852017630517482,0.00228226868609584
UPE_L,0.629758332706988,24-May-2019,-0.00774374894350749,-0.0309818373317519
UPE_L,0.682020464172959,25-May-2019,0.044518382522464,0.0522621314659715
UPE_L,0.626793687695265,29-May-2019,-0.0107083939552307,-0.0138066941194237
UPE_L,0.694979120802879,30-May-2019,0.0574770391523838,0.0681854331076145
UPE_L,0.66585747114718,31-May-2019,0.0283553894966843,-0.0291216496556995
UPE_L,0.514074963076413,06-Jun-2019,-0.123427118574083,-0.0252970846784612
UPE_L,0.688072656112909,07-Jun-2019,0.050570574462414,0.173997693036497
UPE_L,0.740276049935818,09-Jun-2019,0.102773968285322,0.0261016969114541
UPE_L,0.541155075068772,11-Jun-2019,-0.0963470065817238,-0.099560487433523
UPE_L,0.655586218681932,24-Jun-2019,0.0180841370314362,0.00880239566255077
UPE_L,0.663655886042118,28-Jun-2019,0.0261538043916225,0.00201741684004658
UPE_L,0.619005617278814,29-Jun-2019,-0.0184964643716812,-0.0446502687633037
UPE_L,0.420263268957287,30-Jun-2019,-0.217238812693208,-0.198742348321527
UPE_L,0.626130292317271,02-Jul-2019,-0.0113717893332244,0.102933511679992
UPE_L,0.594426661133766,03-Jul-2019,-0.0430754205167295,-0.0317036311835052
UPE_L,0.61468192627281,04-Jul-2019,-0.0228201553776859,0.0202552651390436
UPE_L,0.538197126550972,06-Jul-2019,-0.0993049550995233,-0.0382423998609187
UPE_L,0.530098063634336,08-Jul-2019,-0.10740401801616,-0.0040495314583181
UPE_L,0.580308825781941,10-Jul-2019,-0.0571932558685542,0.0251053810738027
UPE_L,0.576639671573788,11-Jul-2019,-0.0608624100767076,-0.00366915420815339
UPE_L,0.553350244943797,13-Jul-2019,-0.084151836706698,-0.0116447133149952
UPE_L,0.559657676738501,14-Jul-2019,-0.077844404911995,0.00630743179470306
UPE_L,0.526112221282721,15-Jul-2019,-0.111389860367775,-0.0335454554557799
UPE_L,0.554659131099284,16-Jul-2019,-0.0828429505512118,0.028546909816563
UPE_L,0.540544352708012,18-Jul-2019,-0.0969577289424837,-0.00705738919563592
UPE_L,0.518984649182856,23-Jul-2019,-0.118517432467639,-0.00431194070503114
UPE_L,0.519639905165136,24-Jul-2019,-0.11786217648536,0.000655255982279779
UPE_L,0.516247768479586,25-Jul-2019,-0.12125431317091,-0.00339213668555005
UPE_L,0.519487408782542,26-Jul-2019,-0.118014672867953,0.0032396403029562
UPE_L,0.54806926253587,28-Jul-2019,-0.0894328191146254,0.014290926876664
UPE_L,0.548030001017451,29-Jul-2019,-0.0894720806330442,-3.92615184188205e-05
UPE_L,0.489744065481424,30-Jul-2019,-0.147758016169071,-0.0582859355360268
UPE_L,0.520289999353886,31-Jul-2019,-0.11721208229661,0.0305459338724614
UPE_L,0.525820497813821,02-Aug-2019,-0.111681583836675,0.00276524922996757
UPE_L,0.546323553229868,03-Aug-2019,-0.091178528420627,0.0205030554160476
UPE_L,0.564342733518779,04-Aug-2019,-0.0731593481317161,0.0180191802889109
UPE_L,0.622119906344016,05-Aug-2019,-0.015382175306479,0.0577771728252371
UPE_L,0.578117925792932,07-Aug-2019,-0.0593841558575632,-0.0220009902755421
UPE_L,0.600327940183878,08-Aug-2019,-0.0371741414666176,0.0222100143909456
UPE_L,0.636069841432571,09-Aug-2019,-0.00143224021792421,0.0357419012486934
UPE_L,0.608160442767541,10-Aug-2019,-0.0293416388829547,-0.0279093986650305
UPE_L,0.601795714614789,12-Aug-2019,-0.0357063670357067,-0.00318236407637601
UPE_L,0.59710731869638,13-Aug-2019,-0.0403947629541159,-0.00468839591840919
UPE_L,0.599701588463783,14-Aug-2019,-0.0378004931867122,0.00259426976740373
UPE_L,0.559302421800792,15-Aug-2019,-0.0781996598497032,-0.040399166662991
UPE_L,0.560580800324679,17-Aug-2019,-0.0769212813258169,0.000639189261943174
UPE_L,0.614998011550307,18-Aug-2019,-0.0225040701001882,0.0544172112256287
UPE_L,0.615376894758642,19-Aug-2019,-0.0221251868918537,0.000378883208334457
UPE_L,0.604282444891333,22-Aug-2019,-0.0332196367591621,-0.00369814995576945
UPE_L,0.573817584246397,23-Aug-2019,-0.0636844974040987,-0.0304648606449366
UPE_L,0.602709247821569,24-Aug-2019,-0.0347928338289262,0.0288916635751725
UPE_L,0.640741230508685,25-Aug-2019,0.00323914885818977,0.0380319826871159
UPE_L,0.645664246827364,28-Aug-2019,0.00816216517686852,0.00164100543955958
UPE_L,0.611414265744388,29-Aug-2019,-0.0260878159061075,-0.0342499810829761
UPE_L,0.599190037223697,30-Aug-2019,-0.0383120444267988,-0.0122242285206913
UPE_L,0.52335638949126,01-Sep-2019,-0.114145692159235,-0.0379168238662183
