aws,y,m,GroupCount,mean_gps_lat,mean_gps_lon
NUK_L,2020,8,31,64.4832715806452,-49.5450582258065
NUK_L,2020,9,30,64.4833330666667,-49.5452248333333
NUK_L,2021,5,31,64.4834905483871,-49.5467424516129
NUK_L,2021,6,30,64.4835210333333,-49.5470492666667
NUK_L,2021,7,31,64.4835487741935,-49.5473202903226
NUK_L,2021,8,31,64.4835731935484,-49.5475533870968
NUK_L,2021,9,30,64.4835977333333,-49.5477661333333
NUK_L,2022,5,31,64.4837463870968,-49.5492990322581
NUK_L,2022,6,30,64.4837758333333,-49.5495860666667
NUK_L,2022,7,31,64.4837992580645,-49.5498462903226
NUK_L,2022,8,31,64.4838258387097,-49.5501128387097
NUK_L,2022,9,30,64.4838573,-49.5504040666667
NUK_L,2023,5,31,64.4839952258064,-49.5518652580645
NUK_L,2023,6,30,64.4840260666667,-49.5521327666667
NUK_L,2023,7,31,64.4840461290323,-49.552415967742
NUK_L,2023,8,31,64.484075,-49.5526568064516
NUK_L,2023,9,28,64.4841100714286,-49.5528548928571
NUK_U,2019,5,31,64.5100921612903,-49.2748636774193
NUK_U,2019,6,30,64.5100628333334,-49.2751096666667
NUK_U,2019,7,26,64.5100347692308,-49.2753473076923
NUK_U,2019,8,5,64.5100198,-49.2754746
NUK_U,2019,9,4,64.50999175,-49.27571775
NUK_U,2020,5,22,64.5098337727273,-49.2770645909091
NUK_U,2020,6,10,64.5098072,-49.277273
NUK_U,2020,9,3,64.509733,-49.2779433333333
NUK_U,2021,9,21,64.5094732380952,-49.2801996666667
NUK_U,2022,5,31,64.509369,-49.281127
NUK_U,2022,6,30,64.509369,-49.281127
NUK_U,2022,7,31,64.509369,-49.281127
NUK_U,2022,8,19,64.509369,-49.281127
NUK_Uv3,2020,8,1,64.509914,-49.278205
NUK_Uv3,2020,9,29,64.5098982413793,-49.2782959310345
NUK_Uv3,2021,5,31,64.509733516129,-49.2797137419355
NUK_Uv3,2021,6,30,64.5052516666667,-49.2738005
NUK_Uv3,2021,7,31,64.5,-49.266667
NUK_Uv3,2021,8,31,64.5,-49.266667
NUK_Uv3,2021,9,21,64.5050693333333,-49.273996
NUK_Uv3,2022,5,31,64.5,-49.266667
NUK_Uv3,2022,6,30,64.5,-49.266667
NUK_Uv3,2022,7,31,64.5,-49.266667
NUK_Uv3,2022,8,31,64.5036549354839,-49.2729075483871
NUK_Uv3,2022,9,29,64.5093505172414,-49.2828152413793
NUK_Uv3,2023,5,31,64.5091841290322,-49.2841839032258
NUK_Uv3,2023,6,30,64.5091621,-49.2843809333333
NUK_Uv3,2023,7,31,64.5091274516129,-49.2846464516129
NUK_Uv3,2023,8,29,64.5091121034483,-49.284851
NUK_Uv3,2023,9,29,64.5091072758621,-49.2849947931035
QAS_L,2019,5,19,61.0306652105263,-46.8493273157895
QAS_L,2019,6,7,61.0306482857143,-46.8493602857143
QAS_L,2019,7,31,61.0306477419355,-46.8493697419355
QAS_L,2019,8,31,61.0302638064516,-46.8488910645161
QAS_L,2019,9,30,61.024912,-46.841759
QAS_L,2020,5,31,61.0306195483871,-46.8496257096774
QAS_L,2020,6,30,61.0306105333333,-46.8496305666667
QAS_L,2020,7,31,61.0306008064516,-46.8496273548387
QAS_L,2020,8,31,61.0305987096774,-46.8496240322581
QAS_L,2020,9,30,61.0305806666667,-46.8496204333333
QAS_L,2021,5,11,61.0305616363636,-46.8496639090909
QAS_L,2021,6,15,61.0305494666667,-46.8496855333333
QAS_L,2021,7,31,61.0305383870968,-46.8496930645161
QAS_L,2021,8,31,61.0305442903226,-46.8496915806451
QAS_L,2021,9,30,61.0305096666667,-46.8496216
QAS_L,2022,5,31,61.0304887419355,-46.8496778387097
QAS_L,2022,6,30,61.0304831666667,-46.8496838666667
QAS_L,2022,7,31,61.0304848709677,-46.8496939354839
QAS_L,2022,8,31,61.0304714516129,-46.8496963548387
QAS_L,2022,9,30,61.0304865666667,-46.8496593666667
QAS_L,2023,5,31,61.0304673225806,-46.8497057741935
QAS_L,2023,6,30,61.0304642666667,-46.8497197333333
QAS_L,2023,7,31,61.0304540967742,-46.8497336129032
QAS_L,2023,8,31,61.0304476129032,-46.8497403870968
QAS_L,2023,9,17,61.0304401764706,-46.8497568235294
QAS_M,2019,5,31,61.0991060645161,-46.8334515806452
QAS_M,2019,6,30,61.0990722,-46.8334685333333
QAS_M,2019,7,31,61.0990304516129,-46.8334858709677
QAS_M,2019,8,31,61.098995483871,-46.8335099354839
QAS_M,2019,9,30,61.0990599333333,-46.8333981333333
QAS_M,2020,5,31,61.0989149354839,-46.8332731290323
QAS_M,2020,6,30,61.0988447666667,-46.8334919666667
QAS_M,2020,7,31,61.098809,-46.8335135483871
QAS_M,2020,8,31,61.0987662580645,-46.833516
QAS_M,2020,9,30,61.0987219666667,-46.8335378
QAS_M,2021,5,22,61.0988139545455,-46.8332931363636
QAS_M,2021,6,7,61.0985095714286,-46.8336428571429
QAS_M,2021,7,27,61.0984751851852,-46.8336611481482
QAS_M,2021,8,7,61.0984467142857,-46.833669
QAS_M,2021,9,30,61.0983993333333,-46.8336973
QAS_M,2022,5,31,61.0982449354839,-46.8326748709677
QAS_M,2022,6,30,61.0982594666667,-46.8335424333333
QAS_M,2022,7,31,61.0981647096774,-46.8338051290323
QAS_M,2022,8,30,61.0981271333333,-46.8338246
QAS_M,2022,9,6,61.1099508333333,-46.8086441666667
QAS_Mv3,2023,9,30,61.1099337,-46.8083470333333
QAS_U,2019,5,31,61.1741780645161,-46.8205480322581
QAS_U,2019,6,30,61.1741413333333,-46.8206003333333
QAS_U,2019,7,31,61.1740998064516,-46.8206501935484
QAS_U,2019,8,31,61.1738060322581,-46.820670516129
QAS_U,2019,9,30,61.166908,-46.819913
QAS_U,2020,5,31,61.173744516129,-46.8210053225807
QAS_U,2020,6,30,61.1737007333333,-46.8210539
QAS_U,2020,7,31,61.1736629032258,-46.8211009677419
QAS_U,2020,8,29,61.1736216551724,-46.8211397931034
QAS_U,2022,5,31,61.1729008387097,-46.8218926129032
QAS_U,2022,6,30,61.1728644333333,-46.8219332333333
QAS_U,2022,7,31,61.1728214193548,-46.821979516129
QAS_U,2022,8,31,61.172776516129,-46.8220282903226
QAS_U,2022,9,30,61.1727038333333,-46.8220844333333
QAS_U,2023,5,31,61.172435483871,-46.8223754516129
QAS_U,2023,6,30,61.1724023,-46.8224185333333
QAS_U,2023,7,31,61.1723425806452,-46.8224700645161
QAS_U,2023,8,31,61.1722930645161,-46.8225194193548
SWC,2020,8,23,69.5541758260869,-49.3694253913043
SWC,2020,9,19,69.554136,-49.3695678421053
SWC,2021,5,31,69.5536712258064,-49.3713430967742
SWC,2021,6,29,69.5536117241379,-49.3715418965517
SWC,2021,7,31,69.5535506774194,-49.3717590322581
SWC,2021,8,31,69.5534761290323,-49.3720342258065
SWC,2021,9,19,69.5534237368421,-49.3722278421053
SWC,2022,5,31,69.5529579032258,-49.3739604193548
SWC,2022,6,30,69.5528987,-49.3741534666667
SWC,2022,7,31,69.5528525806452,-49.3743802903226
SWC,2022,8,31,69.5527963548387,-49.3746174516129
SWC,2022,9,20,69.55274565,-49.3748157
SWC_O,2022,8,30,69.5953833666667,-49.2791645
SWC_O,2022,9,24,69.5953280833333,-49.2793579166667
SWC_O,2023,5,31,69.5948843225806,-49.2809873870968
SWC_O,2023,6,30,69.5948299,-49.2811976666667
SWC_O,2023,7,31,69.5947650967742,-49.2814278064516
SWC_O,2023,8,31,69.5946972903226,-49.281682
SWC_O,2023,9,23,69.5946496086956,-49.2818483043478
TAS_A,2019,5,1,65.777617,-38.897106
TAS_A,2023,8,22,65.7745226818182,-38.8909497272727
TAS_A,2023,9,30,65.7744793666667,-38.8908473
TAS_L,2019,5,2,65.6398885,-38.89871
TAS_L,2020,8,13,65.63967,-38.8987943076923
TAS_L,2020,9,5,65.6396658,-38.898799
TAS_L,2021,5,22,65.6395835454545,-38.8988387727273
TAS_L,2021,6,30,65.6395679,-38.8988458666667
TAS_L,2021,7,31,65.6395494516129,-38.8988613870968
TAS_L,2021,8,31,65.639532032258,-38.8988740645161
TAS_L,2021,9,29,65.6395075172414,-38.8989060689655
TAS_L,2022,5,16,65.639438875,-38.8989453125
TAS_L,2022,6,29,65.6394265862069,-38.8989567241379
TAS_L,2022,7,31,65.6394066129032,-38.8989657741935
TAS_L,2022,8,31,65.6393913225807,-38.8989713870968
